model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 4 Series,2017,16600.0,Automatic,46913,Diesel,145,65.7,2.0
 3 Series,2017,15100.0,Manual,37747,Diesel,125,60.1,2.0
 4 Series,2017,16750.0,Manual,24882,Petrol,145,46.3,2.0
 3 Series,2018,15700.0,Automatic,29394,Petrol,145,48.7,2.0
 5 Series,2016,12600.0,Manual,59528,Diesel,125,60.1,2.0
 2 Series,2016,14600.0,Manual,15577,Petrol,160,44.1,2.0
 X1,2020,31498.0,Semi-Auto,1560,Diesel,145,60.1,2.0
 3 Series,2014,11998.0,Manual,11545,Petrol,165,44.8,2.0
 1 Series,2020,31998.0,Semi-Auto,1560,Diesel,150,48.7,2.0
 X2,2020,29998.0,Manual,1850,Diesel,150,49.6,2.0
 X4,2019,33998.0,Semi-Auto,7272,Diesel,150,42.8,2.0
 4 Series,2016,17995.0,Semi-Auto,22476,Petrol,145,48.7,2.0
 5 Series,2014,11998.0,Semi-Auto,60681,Diesel,125,57.6,2.0
 X1,2016,14498.0,Manual,57717,Diesel,125,58.9,2.0
 3 Series,2017,16998.0,Semi-Auto,8096,Petrol,145,51.4,2.0
 X1,2016,17998.0,Semi-Auto,50378,Diesel,125,57.6,2.0
 5 Series,2019,25998.0,Semi-Auto,11115,Diesel,145,65.7,2.0
 X1,2013,8298.0,Manual,69020,Diesel,125,57.6,2.0
 3 Series,2019,21898.0,Semi-Auto,5761,Diesel,150,55.4,2.0
 X3,2014,17495.0,Semi-Auto,54075,Diesel,145,54.3,2.0
 2 Series,2014,10498.0,Manual,52091,Diesel,125,58.9,2.0
 1 Series,2019,19998.0,Semi-Auto,4812,Petrol,145,47.9,2.0
 X1,2016,16698.0,Semi-Auto,37272,Petrol,160,44.8,2.0
 3 Series,2019,27998.0,Semi-Auto,4250,Diesel,145,48.7,2.0
 X1,2016,18498.0,Semi-Auto,25994,Diesel,145,55.4,2.0
 5 Series,2017,22998.0,Semi-Auto,19379,Diesel,145,65.7,2.0
 5 Series,2019,29898.0,Semi-Auto,2743,Diesel,145,60.1,2.0
 3 Series,2019,22998.0,Semi-Auto,6000,Petrol,145,48.7,2.0
 3 Series,2019,29998.0,Manual,3980,Diesel,145,53.3,2.0
 4 Series,2019,29898.0,Semi-Auto,101,Diesel,145,60.1,2.0
 5 Series,2017,20498.0,Semi-Auto,12725,Diesel,145,68.9,2.0
 3 Series,2019,27650.0,Semi-Auto,18200,Diesel,150,48.7,2.0
 4 Series,2018,22995.0,Automatic,7200,Petrol,145,48.7,2.0
 5 Series,2018,26995.0,Automatic,6800,Diesel,145,68.9,2.0
 1 Series,2013,11995.0,Manual,31600,Diesel,125,57.6,2.0
 5 Series,2018,25995.0,Semi-Auto,8700,Diesel,145,49.6,2.0
 3 Series,2018,21495.0,Semi-Auto,16452,Petrol,150,48.7,2.0
 5 Series,2017,22998.0,Automatic,15838,Diesel,145,60.1,2.0
 1 Series,2019,18498.0,Semi-Auto,11234,Diesel,145,68.9,2.0
 2 Series,2019,23998.0,Semi-Auto,2318,Petrol,145,47.9,2.0
 X1,2017,21498.0,Semi-Auto,14418,Diesel,145,55.4,2.0
 X1,2017,18500.0,Semi-Auto,12160,Diesel,145,65.7,2.0
 X1,2016,19500.0,Semi-Auto,13690,Diesel,125,57.6,2.0
 3 Series,2017,18000.0,Manual,20087,Petrol,165,44.8,2.0
 3 Series,2018,22500.0,Semi-Auto,11150,Petrol,145,48.7,2.0
 4 Series,2019,24700.0,Semi-Auto,5196,Diesel,145,65.7,2.0
 1 Series,2019,32000.0,Semi-Auto,4493,Petrol,145,34.5,2.0
 X1,2018,20000.0,Semi-Auto,10545,Diesel,145,60.1,2.0
 X1,2017,22000.0,Semi-Auto,16500,Petrol,145,44.8,2.0
 X3,2015,17498.0,Semi-Auto,48867,Diesel,145,54.3,2.0
 X1,2016,18998.0,Semi-Auto,30434,Diesel,125,57.6,2.0
 5 Series,2019,28000.0,Semi-Auto,5739,Diesel,145,62.8,2.0
 4 Series,2017,20800.0,Semi-Auto,14774,Diesel,125,58.9,2.0
 3 Series,2018,20500.0,Semi-Auto,12133,Petrol,145,48.7,2.0
 X2,2019,30000.0,Semi-Auto,5431,Diesel,145,48.7,2.0
 X4,2018,32000.0,Semi-Auto,10920,Diesel,150,42.8,2.0
 3 Series,2019,24300.0,Semi-Auto,8000,Petrol,150,44.8,2.0
 X3,2016,20500.0,Semi-Auto,37000,Diesel,145,54.3,2.0
 3 Series,2017,18000.0,Semi-Auto,33000,Diesel,145,60.1,2.0
 X3,2015,16500.0,Semi-Auto,48000,Diesel,145,54.3,2.0
 4 Series,2017,19800.0,Manual,17410,Petrol,150,40.9,2.0
 4 Series,2018,22000.0,Semi-Auto,10948,Diesel,145,60.1,2.0
 X1,2016,19300.0,Semi-Auto,25300,Diesel,125,60.1,2.0
 X1,2017,18498.0,Manual,13278,Diesel,125,58.9,2.0
 5 Series,2019,27000.0,Semi-Auto,9000,Petrol,145,48.7,2.0
 2 Series,2018,18000.0,Semi-Auto,13174,Diesel,145,49.6,2.0
 1 Series,2017,16800.0,Semi-Auto,16761,Diesel,145,67.3,2.0
 3 Series,2018,21300.0,Semi-Auto,18564,Diesel,145,60.1,2.0
 X2,2019,29000.0,Semi-Auto,1418,Petrol,145,36.2,2.0
 3 Series,2019,34000.0,Semi-Auto,5525,Diesel,145,50.4,2.0
 3 Series,2013,14990.0,Semi-Auto,35500,Diesel,145,55.4,2.0
 X3,2015,19500.0,Semi-Auto,41567,Diesel,145,54.3,2.0
 3 Series,2015,17200.0,Semi-Auto,6147,Petrol,145,47.9,2.0
 4 Series,2020,27000.0,Semi-Auto,25,Petrol,145,48.7,2.0
 4 Series,2020,27500.0,Semi-Auto,25,Diesel,145,60.1,2.0
 X4,2015,19485.0,Manual,53755,Diesel,160,52.3,2.0
 X1,2014,10985.0,Semi-Auto,56952,Diesel,160,52.3,2.0
 4 Series,2019,25490.0,Semi-Auto,8794,Diesel,145,60.1,2.0
 1 Series,2014,12000.0,Manual,41500,Diesel,125,57.6,2.0
 2 Series,2019,23950.0,Semi-Auto,4413,Diesel,145,46.3,2.0
 4 Series,2019,26550.0,Semi-Auto,7292,Diesel,145,58.9,2.0
 X1,2016,18000.0,Semi-Auto,46354,Diesel,125,57.6,2.0
 4 Series,2020,29500.0,Semi-Auto,17,Diesel,145,60.1,2.0
 5 Series,2019,28500.0,Semi-Auto,3816,Diesel,145,62.8,2.0
 5 Series,2019,26000.0,Semi-Auto,4405,Petrol,145,48.7,2.0
 X2,2019,27000.0,Manual,4825,Diesel,145,49.6,2.0
 4 Series,2019,27000.0,Semi-Auto,4406,Diesel,145,60.1,2.0
 3 Series,2019,33000.0,Semi-Auto,11564,Diesel,145,49.6,2.0
 X2,2019,32000.0,Semi-Auto,10,Petrol,145,34.0,2.0
 X3,2016,22000.0,Semi-Auto,25000,Diesel,150,54.3,2.0
 1 Series,2019,27000.0,Semi-Auto,1214,Diesel,145,51.4,2.0
 3 Series,2017,19650.0,Semi-Auto,43267,Diesel,145,62.8,2.0
 4 Series,2019,22500.0,Semi-Auto,5623,Diesel,145,65.7,2.0
 3 Series,2014,15000.0,Semi-Auto,56000,Diesel,150,55.4,2.0
 3 Series,2017,18300.0,Semi-Auto,20000,Diesel,150,62.8,2.0
 X2,2019,23498.0,Semi-Auto,3241,Petrol,150,40.4,2.0
 X3,2020,35900.0,Semi-Auto,4500,Diesel,150,54.3,2.0
 X1,2017,18998.0,Semi-Auto,26939,Diesel,145,65.7,2.0
 3 Series,2017,15998.0,Semi-Auto,19675,Petrol,125,51.4,2.0
 1 Series,2019,29000.0,Semi-Auto,100,Diesel,150,48.7,2.0
 5 Series,2018,24595.0,Semi-Auto,28502,Diesel,145,65.7,2.0
 5 Series,2017,22990.0,Semi-Auto,33492,Diesel,145,60.1,2.0
 5 Series,2013,10495.0,Semi-Auto,83380,Diesel,125,57.6,2.0
 4 Series,2018,22595.0,Semi-Auto,18937,Petrol,145,48.7,2.0
 3 Series,2019,27995.0,Semi-Auto,2460,Diesel,145,53.3,2.0
 X1,2016,17298.0,Semi-Auto,48697,Diesel,125,57.6,2.0
 X1,2017,17995.0,Manual,23692,Diesel,125,58.9,2.0
 5 Series,2017,21998.0,Semi-Auto,25260,Diesel,145,60.1,2.0
 1 Series,2017,13798.0,Manual,34446,Diesel,145,65.7,2.0
 4 Series,2018,21500.0,Semi-Auto,4038,Petrol,150,45.6,2.0
 3 Series,2019,28000.0,Automatic,6148,Diesel,145,52.3,2.0
 X3,2014,14495.0,Semi-Auto,56787,Diesel,150,54.3,2.0
 4 Series,2017,17495.0,Manual,13471,Petrol,145,46.3,2.0
 2 Series,2020,36000.0,Semi-Auto,5550,Petrol,145,36.2,2.0
 X1,2017,16998.0,Semi-Auto,46622,Diesel,125,57.6,2.0
 5 Series,2018,23998.0,Semi-Auto,14052,Diesel,145,62.8,2.0
 3 Series,2019,26498.0,Semi-Auto,21165,Diesel,145,48.7,2.0
 4 Series,2019,21998.0,Semi-Auto,19856,Diesel,145,65.7,2.0
 3 Series,2019,23298.0,Semi-Auto,11974,Diesel,145,54.3,2.0
 2 Series,2018,17500.0,Automatic,6079,Diesel,145,51.4,2.0
 1 Series,2019,16600.0,Manual,7000,Diesel,145,68.9,2.0
 X1,2019,25500.0,Automatic,2984,Diesel,145,60.1,2.0
 3 Series,2016,14000.0,Manual,30679,Diesel,125,62.8,2.0
 4 Series,2019,25000.0,Manual,4000,Diesel,150,55.4,2.0
 5 Series,2017,21900.0,Semi-Auto,38649,Diesel,145,65.7,2.0
 3 Series,2019,34900.0,Semi-Auto,4600,Diesel,145,49.6,2.0
 1 Series,2019,22700.0,Semi-Auto,14822,Diesel,145,60.1,2.0
 X2,2018,23900.0,Semi-Auto,12887,Diesel,145,61.4,2.0
 4 Series,2019,26800.0,Semi-Auto,7667,Diesel,145,58.9,2.0
 1 Series,2015,16450.0,Semi-Auto,25499,Diesel,125,60.1,2.0
 X1,2019,25000.0,Manual,3715,Diesel,145,68.9,2.0
 X2,2019,27000.0,Automatic,49,Diesel,145,50.4,2.0
 3 Series,2019,32000.0,Automatic,5557,Diesel,145,49.6,2.0
 2 Series,2019,23500.0,Semi-Auto,2664,Petrol,145,50.4,2.0
 4 Series,2018,20500.0,Semi-Auto,6668,Diesel,145,65.7,2.0
 2 Series,2019,20500.0,Automatic,6679,Petrol,145,47.9,2.0
 2 Series,2019,20500.0,Automatic,1689,Petrol,145,50.4,2.0
 4 Series,2018,20990.0,Semi-Auto,26706,Diesel,150,58.9,2.0
 X3,2016,18990.0,Semi-Auto,12996,Diesel,150,54.3,2.0
 2 Series,2019,23500.0,Semi-Auto,2164,Diesel,145,49.6,2.0
 2 Series,2019,24000.0,Automatic,477,Petrol,145,47.9,2.0
 5 Series,2019,30000.0,Automatic,10654,Diesel,145,60.1,2.0
 X2,2019,29000.0,Automatic,2472,Diesel,145,48.7,2.0
 4 Series,2019,25450.0,Semi-Auto,1000,Diesel,150,60.1,2.0
 X2,2018,24490.0,Semi-Auto,7100,Diesel,150,61.4,2.0
 X1,2014,12490.0,Semi-Auto,49400,Diesel,165,51.4,2.0
 2 Series,2019,19750.0,Semi-Auto,9014,Diesel,145,49.6,2.0
 5 Series,2017,21900.0,Semi-Auto,23291,Diesel,145,65.7,2.0
 X1,2018,21500.0,Semi-Auto,12710,Petrol,145,44.8,2.0
 X1,2016,18998.0,Semi-Auto,24347,Diesel,150,55.4,2.0
 3 Series,2019,31000.0,Semi-Auto,1397,Diesel,145,50.4,2.0
 3 Series,2013,15000.0,Semi-Auto,21940,Diesel,125,58.9,2.0
 3 Series,2018,17998.0,Semi-Auto,19950,Diesel,145,65.7,2.0
 2 Series,2016,17998.0,Semi-Auto,28099,Diesel,145,55.4,2.0
 X1,2016,18998.0,Semi-Auto,20874,Diesel,150,55.4,2.0
 5 Series,2019,26498.0,Semi-Auto,16466,Diesel,145,60.1,2.0
 X1,2016,15998.0,Manual,45484,Diesel,125,58.9,2.0
 3 Series,2019,27998.0,Semi-Auto,9624,Diesel,150,52.3,2.0
 X1,2017,19998.0,Semi-Auto,17922,Diesel,145,55.4,2.0
 1 Series,2015,13998.0,Semi-Auto,38279,Diesel,125,60.1,2.0
 5 Series,2017,21498.0,Semi-Auto,34296,Diesel,145,65.7,2.0
 1 Series,2019,19298.0,Semi-Auto,10040,Diesel,145,67.3,2.0
 3 Series,2019,26498.0,Semi-Auto,13579,Diesel,145,48.7,2.0
 2 Series,2017,17998.0,Semi-Auto,27997,Diesel,145,57.6,2.0
 X1,2016,19498.0,Semi-Auto,19850,Diesel,145,55.4,2.0
 4 Series,2018,21498.0,Semi-Auto,8441,Petrol,150,48.7,2.0
 3 Series,2019,23498.0,Semi-Auto,10629,Diesel,145,57.7,2.0
 1 Series,2018,17498.0,Manual,10374,Diesel,145,49.6,2.0
 3 Series,2019,20498.0,Semi-Auto,6160,Petrol,150,44.8,2.0
 3 Series,2019,23298.0,Semi-Auto,11326,Diesel,145,54.3,2.0
 X1,2016,19498.0,Semi-Auto,20153,Diesel,145,55.4,2.0
 X3,2014,15795.0,Semi-Auto,63000,Diesel,145,54.3,2.0
 3 Series,2015,13995.0,Semi-Auto,46316,Petrol,160,46.3,2.0
 X1,2017,17998.0,Semi-Auto,33534,Diesel,150,55.4,2.0
 3 Series,2017,17695.0,Semi-Auto,24909,Diesel,145,62.8,2.0
 1 Series,2018,16998.0,Manual,19154,Diesel,150,49.6,2.0
 X3,2013,14000.0,Semi-Auto,47111,Diesel,160,50.4,2.0
 X3,2016,21000.0,Semi-Auto,24002,Diesel,145,54.3,2.0
 4 Series,2017,19498.0,Semi-Auto,28912,Diesel,145,65.7,2.0
 5 Series,2017,20998.0,Semi-Auto,21068,Diesel,145,62.8,2.0
 3 Series,2017,17998.0,Semi-Auto,34118,Diesel,150,60.1,2.0
 4 Series,2017,17410.0,Automatic,37842,Diesel,145,65.7,2.0
 2 Series,2016,18498.0,Semi-Auto,18245,Diesel,145,55.4,2.0
 3 Series,2018,22998.0,Semi-Auto,16360,Diesel,145,57.7,2.0
 3 Series,2019,26698.0,Semi-Auto,8273,Diesel,145,48.7,2.0
 4 Series,2016,14998.0,Manual,24711,Petrol,160,46.3,2.0
 3 Series,2016,14995.0,Manual,43400,Diesel,125,58.9,2.0
 3 Series,2019,23498.0,Semi-Auto,7516,Diesel,145,54.3,2.0
 4 Series,2019,21998.0,Semi-Auto,17740,Diesel,145,65.7,2.0
 3 Series,2019,27298.0,Semi-Auto,8319,Diesel,145,48.7,2.0
 3 Series,2019,26498.0,Semi-Auto,18526,Diesel,145,48.7,2.0
 X1,2017,17998.0,Automatic,33358,Diesel,125,60.1,2.0
 1 Series,2018,17498.0,Semi-Auto,17063,Petrol,145,36.7,2.0
 X1,2016,19998.0,Semi-Auto,21621,Diesel,145,55.4,2.0
 X1,2016,17698.0,Manual,29018,Diesel,125,58.9,2.0
 4 Series,2017,19498.0,Semi-Auto,16463,Diesel,145,65.7,2.0
 5 Series,2018,24498.0,Semi-Auto,15032,Diesel,145,68.9,2.0
 X1,2016,18498.0,Semi-Auto,28813,Diesel,145,55.4,2.0
 3 Series,2019,22998.0,Semi-Auto,6394,Diesel,150,54.3,2.0
 3 Series,2017,14498.0,Manual,21105,Petrol,150,48.7,2.0
 3 Series,2019,27498.0,Semi-Auto,9091,Diesel,150,52.3,2.0
 2 Series,2017,16498.0,Semi-Auto,25405,Diesel,150,64.2,2.0
 3 Series,2019,21998.0,Semi-Auto,7237,Diesel,145,60.1,2.0
 3 Series,2019,26998.0,Semi-Auto,15002,Diesel,145,48.7,2.0
 5 Series,2018,25998.0,Semi-Auto,19479,Diesel,145,46.3,2.0
 3 Series,2019,22898.0,Automatic,12249,Diesel,145,62.8,2.0
 3 Series,2018,20998.0,Semi-Auto,28180,Petrol,145,48.7,2.0
 1 Series,2017,15498.0,Semi-Auto,40228,Diesel,125,60.1,2.0
 3 Series,2017,15998.0,Semi-Auto,16943,Petrol,150,51.4,2.0
 3 Series,2017,14998.0,Manual,13309,Petrol,150,48.7,2.0
 3 Series,2019,26498.0,Semi-Auto,7098,Petrol,150,41.5,2.0
 2 Series,2018,18498.0,Semi-Auto,7202,Petrol,145,38.2,2.0
 5 Series,2017,22498.0,Semi-Auto,19864,Diesel,145,65.7,2.0
 X1,2017,19862.0,Semi-Auto,11000,Diesel,150,55.4,2.0
 5 Series,2016,19998.0,Semi-Auto,16555,Diesel,160,51.4,2.0
 X3,2019,35998.0,Semi-Auto,2451,Diesel,145,54.3,2.0
 X2,2019,24998.0,Manual,4174,Diesel,145,48.7,2.0
 5 Series,2019,26898.0,Semi-Auto,4917,Diesel,145,65.7,2.0
 3 Series,2019,29998.0,Semi-Auto,10171,Petrol,145,41.5,2.0
 3 Series,2019,27498.0,Semi-Auto,14793,Diesel,145,48.7,2.0
 X1,2016,18998.0,Semi-Auto,20259,Diesel,145,55.4,2.0
 X1,2017,21498.0,Semi-Auto,19682,Petrol,160,44.8,2.0
 3 Series,2019,35998.0,Semi-Auto,9632,Diesel,145,49.6,2.0
 3 Series,2017,15127.0,Semi-Auto,26630,Petrol,125,51.4,2.0
 4 Series,2014,13991.0,Manual,22908,Diesel,125,58.9,2.0
 4 Series,2019,21998.0,Semi-Auto,16616,Diesel,145,65.7,2.0
 X1,2016,19998.0,Automatic,13085,Diesel,145,55.4,2.0
 3 Series,2018,19998.0,Semi-Auto,16159,Petrol,145,48.7,2.0
 4 Series,2017,17998.0,Automatic,43111,Diesel,145,65.7,2.0
 4 Series,2017,21998.0,Automatic,13941,Petrol,145,48.7,2.0
 4 Series,2017,19998.0,Semi-Auto,13273,Diesel,145,65.7,2.0
 X4,2019,33998.0,Semi-Auto,9064,Diesel,150,42.8,2.0
 5 Series,2019,27898.0,Semi-Auto,11871,Diesel,150,62.8,2.0
 5 Series,2017,22998.0,Semi-Auto,20033,Diesel,150,65.7,2.0
 1 Series,2020,29998.0,Semi-Auto,934,Diesel,150,48.7,2.0
 4 Series,2019,24998.0,Semi-Auto,3214,Diesel,150,65.7,2.0
 3 Series,2019,21998.0,Semi-Auto,11300,Diesel,150,55.4,2.0
 4 Series,2018,20998.0,Semi-Auto,23358,Diesel,145,65.7,2.0
 4 Series,2018,21998.0,Semi-Auto,15600,Diesel,145,65.7,2.0
 4 Series,2017,19998.0,Semi-Auto,8333,Petrol,145,48.7,2.0
 X1,2016,18797.0,Automatic,13505,Diesel,125,57.6,2.0
 3 Series,2017,14050.0,Manual,20829,Petrol,145,48.7,2.0
 3 Series,2013,10170.0,Manual,49102,Diesel,125,57.6,2.0
 2 Series,2017,15750.0,Semi-Auto,18652,Diesel,145,65.7,2.0
 1 Series,2018,13295.0,Manual,18712,Diesel,145,50.4,2.0
 3 Series,2017,18995.0,Semi-Auto,23505,Diesel,145,64.2,2.0
 X1,2017,18998.0,Semi-Auto,32217,Diesel,145,55.4,2.0
 3 Series,2014,12998.0,Manual,31826,Diesel,125,57.6,2.0
 3 Series,2017,14498.0,Semi-Auto,38328,Petrol,150,51.4,2.0
 1 Series,2019,19498.0,Semi-Auto,9739,Diesel,145,67.3,2.0
 X1,2017,18998.0,Semi-Auto,28686,Diesel,125,57.6,2.0
 3 Series,2019,29998.0,Semi-Auto,8765,Petrol,145,41.5,2.0
 3 Series,2019,25898.0,Semi-Auto,11917,Diesel,150,52.3,2.0
 3 Series,2019,28898.0,Semi-Auto,1250,Petrol,145,42.2,2.0
 1 Series,2017,17498.0,Semi-Auto,17640,Diesel,145,65.7,2.0
 3 Series,2017,17998.0,Semi-Auto,32000,Diesel,145,62.8,2.0
 4 Series,2019,21998.0,Semi-Auto,11032,Diesel,145,65.7,2.0
 5 Series,2017,23998.0,Semi-Auto,13970,Diesel,145,65.7,2.0
 X1,2017,19498.0,Semi-Auto,18798,Diesel,145,55.4,2.0
 2 Series,2017,15998.0,Semi-Auto,30330,Diesel,145,64.2,2.0
 4 Series,2018,19498.0,Semi-Auto,27198,Diesel,145,65.7,2.0
 1 Series,2017,14498.0,Manual,28831,Diesel,145,65.7,2.0
 X1,2014,9998.0,Semi-Auto,68647,Diesel,160,52.3,2.0
 3 Series,2019,23498.0,Automatic,9117,Diesel,145,54.3,2.0
 X4,2016,21995.0,Automatic,38900,Diesel,145,54.3,2.0
 3 Series,2015,15195.0,Semi-Auto,56000,Diesel,145,56.5,2.0
 5 Series,2014,15495.0,Semi-Auto,51565,Diesel,160,51.4,2.0
 X2,2019,23890.0,Semi-Auto,5743,Petrol,145,38.7,2.0
 5 Series,2017,24498.0,Semi-Auto,20657,Diesel,145,60.1,2.0
 X1,2016,16998.0,Manual,13612,Diesel,125,60.1,2.0
 X1,2016,20998.0,Semi-Auto,26821,Petrol,160,44.8,2.0
 3 Series,2019,26898.0,Semi-Auto,10707,Diesel,150,52.3,2.0
 3 Series,2019,23298.0,Semi-Auto,10785,Diesel,150,54.3,2.0
 3 Series,2019,29998.0,Semi-Auto,10035,Petrol,145,41.5,2.0
 2 Series,2019,23898.0,Automatic,6375,Diesel,145,61.4,2.0
 X2,2019,27898.0,Semi-Auto,3770,Diesel,145,50.4,2.0
 X1,2017,17900.0,Manual,34625,Diesel,150,60.1,2.0
 4 Series,2015,13995.0,Manual,33755,Petrol,160,44.8,2.0
 5 Series,2017,21440.0,Semi-Auto,34779,Diesel,150,62.8,2.0
 4 Series,2018,21840.0,Semi-Auto,10291,Diesel,150,65.7,2.0
 5 Series,2019,26798.0,Semi-Auto,16128,Diesel,145,60.1,2.0
 3 Series,2019,32995.0,Manual,612,Diesel,145,54.3,2.0
 X3,2019,39500.0,Semi-Auto,1704,Diesel,145,54.3,2.0
 X3,2019,39500.0,Semi-Auto,105,Diesel,145,54.3,2.0
 X3,2019,36900.0,Semi-Auto,2367,Diesel,145,54.3,2.0
 X2,2018,23900.0,Semi-Auto,3391,Diesel,145,61.4,2.0
 3 Series,2018,20000.0,Semi-Auto,17892,Diesel,145,60.1,2.0
 X1,2017,17790.0,Semi-Auto,36885,Diesel,125,60.1,2.0
 6 Series,2019,32000.0,Semi-Auto,2500,Petrol,150,42.8,2.0
 X1,2017,21998.0,Semi-Auto,5020,Diesel,145,60.1,2.0
 5 Series,2019,29000.0,Semi-Auto,4727,Diesel,145,62.8,2.0
 3 Series,2019,32990.0,Semi-Auto,5400,Diesel,145,49.6,2.0
 3 Series,2019,30000.0,Manual,5385,Diesel,145,54.3,2.0
 3 Series,2019,35000.0,Semi-Auto,7685,Diesel,145,48.7,2.0
 1 Series,2017,14898.0,Manual,28133,Diesel,145,65.7,2.0
 5 Series,2019,29998.0,Semi-Auto,5000,Diesel,145,62.8,2.0
 4 Series,2019,28898.0,Semi-Auto,5000,Petrol,145,48.7,2.0
 3 Series,2019,26498.0,Semi-Auto,16151,Diesel,145,48.7,2.0
 X2,2018,22898.0,Semi-Auto,21150,Petrol,145,38.7,2.0
 3 Series,2016,18898.0,Automatic,13493,Petrol,160,44.1,2.0
 X1,2017,19498.0,Automatic,27490,Diesel,145,57.6,2.0
 5 Series,2019,29898.0,Semi-Auto,7730,Diesel,145,60.1,2.0
 3 Series,2019,29998.0,Manual,5000,Diesel,145,54.3,2.0
 3 Series,2018,21898.0,Semi-Auto,6425,Petrol,145,48.7,2.0
 3 Series,2019,23898.0,Automatic,11603,Diesel,145,52.3,2.0
 1 Series,2019,19598.0,Semi-Auto,11308,Diesel,145,67.3,2.0
 1 Series,2019,18998.0,Semi-Auto,10974,Diesel,145,48.7,2.0
 1 Series,2019,33500.0,Semi-Auto,5354,Diesel,145,48.7,2.0
 X1,2015,16900.0,Semi-Auto,42530,Diesel,125,57.6,2.0
 5 Series,2019,25500.0,Automatic,1032,Diesel,145,65.7,2.0
